"Pair","Param1","Param2","Param1Value","Param2Value","SSE","Log10SSE"
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.025,0.0015184443465838,-2.81860112104205
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.03,0.00500453900043912,-2.3006359219382
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.035,0.0158625926621926,-1.79962582793513
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.04,0.0326878133043572,-1.48561413116681
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.045,0.0545300149888512,-1.26336438293716
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.05,0.0807686859727618,-1.09275698260611
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.055,0.111022643503012,-0.954588436118704
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.06,0.145082285743389,-0.838385610812026
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.065,0.1828576495996,-0.737886866830424
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.07,0.224338163409413,-0.649096839888822
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.075,0.26956142965427,-0.569342248956687
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.08,0.318589188209371,-0.496768966704012
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.01,0.0774804486808369,-1.11080787299362
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.015,0.0360274565601474,-1.4433663967973
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.02,0.012290967483448,-1.91041393027991
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.025,0.00173218034861064,-2.76140689272927
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.03,0.00124184369434001,-2.90593306354551
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.035,0.00864724575072907,-2.06312219840047
"gamma_max_vs_delta_max","gamma_max","delta_max",0.185714285714286,0.04,0.0224260856582851,-1.6492465233568
